bus_width,al,pc,scr,is_depth,os_depth,freq,operation,dim1,dim2,dim3,data_stream,Lin,Linp,Lwt,Lwtp,Cmpfis_aor,Cmpfis_tos,Cmpfis_aos,Cmpfis_ptos,Cmpfis_paos,Cmpfgt_aor,Cmpfgt_tos,Cmpfgt_aos,Cmpfgt_ptos,Cmpfgt_paos,Cmpfgtp,Lpenalty,Nop,Nop_w_rd,IS_reward,L2_reward,Fussion
409,256,16,16,512,1024,500,proj,256,512,256,wspp,512,2048,2048,0,0,1024,0,3072,4096,0,0,0,0,0,0,0,8,4096,7680,0,0
409,256,16,16,512,1024,500,proj,256,512,256,wspp,512,2048,2048,0,0,1024,0,3072,4096,0,0,0,0,0,0,0,8,4096,7680,0,0
409,256,16,16,512,1024,500,proj,256,256,512,wspp,512,2048,1024,0,0,0,0,8192,0,0,0,0,0,0,0,0,4,0,7680,0,0
409,256,16,16,256,1024,500,proj,64,64,64,isap,64,256,256,0,0,0,0,256,0,0,0,0,0,0,0,0,4,0,192,0,0
409,256,16,16,256,1024,500,proj,64,64,64,ispp,64,256,256,0,0,0,0,256,0,0,0,0,0,0,0,0,4,0,192,0,0
409,256,16,16,256,1024,500,proj,64,64,64,wsap,64,256,256,0,0,0,0,256,0,0,0,0,0,0,0,0,4,0,192,0,0
409,256,16,16,256,1024,500,proj,64,64,64,wspp,64,256,256,0,0,0,0,256,0,0,0,0,0,0,0,0,4,0,192,0,0
409,256,16,16,256,1024,500,proj,64,64,64,isap,64,256,256,0,0,0,0,256,0,0,0,0,0,0,0,0,4,0,192,0,0
409,256,16,16,256,1024,500,proj,64,64,64,ispp,64,256,256,0,0,0,0,256,0,0,0,0,0,0,0,0,4,0,192,0,0
409,256,16,16,256,1024,500,proj,64,64,64,wsap,64,256,256,0,0,0,0,256,0,0,0,0,0,0,0,0,4,0,192,0,0
409,256,16,16,256,1024,500,proj,64,64,64,wspp,64,256,256,0,0,0,0,256,0,0,0,0,0,0,0,0,4,0,192,0,0
409,256,16,16,256,1024,500,proj,768,768,64,isap,192,768,9216,0,5760,287,0,2785,384,0,0,0,0,0,0,65,36,319,0,0,0
