bus_width,al,pc,scr,is_depth,os_depth,freq,operation,dim1,dim2,dim3,data_stream,Lin,Linp,Lwt,Lwtp,Cmpfis_aor,Cmpfis_tos,Cmpfis_aos,Cmpfis_ptos,Cmpfis_paos,Cmpfgt_aor,Cmpfgt_tos,Cmpfgt_aos,Cmpfgt_ptos,Cmpfgt_paos,Cmpfgtp,Lpenalty,Nop,Nop_w_rd,IS_reward,L2_reward,Fussion
256,128,8,8,1024,2048,500,proj,64,1024,1024,isap,8192,24576,16384,0,57344,0,0,8192,0,0,0,0,0,0,0,0,256,0,0,0,0
256,128,8,8,1024,2048,500,proj,64,1024,1024,isap,8192,24576,16384,0,57344,0,0,8192,0,0,0,0,0,0,0,0,256,0,0,0,0
256,128,8,8,1024,2048,500,proj,64,1024,1024,isap,8192,24576,16384,0,57344,0,0,8192,0,0,0,0,0,0,0,0,256,0,0,0,0
256,128,8,8,1024,2048,500,proj,64,1024,1024,ispp,8192,24576,16384,0,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
256,128,8,8,1024,2048,500,proj,64,1024,1024,ispp,8192,24576,16384,0,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
256,128,8,8,1024,2048,500,a2a,256,1024,12,lhd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,128,8,64,1024,2048,500,a2a,256,1024,12,wspp,0,0,20736,0,0,0,0,0,0,33792,0,0,132096,0,9216,0,48,0,0,95232,67584
256,128,8,64,1024,2048,500,a2a,256,1024,12,wspp,0,0,20736,0,0,0,0,0,0,33792,0,0,132096,0,9216,0,48,0,0,95232,67584
256,128,8,64,1024,2048,500,proj,512,1024,1024,isap,8192,24576,131072,0,458752,0,0,65536,0,0,0,0,0,0,0,0,256,0,0,0,0
256,128,8,64,1024,2048,500,proj,512,1024,1024,isap,8192,24576,131072,0,458752,0,0,65536,0,0,0,0,0,0,0,0,256,0,0,0,0
256,128,8,64,1024,2048,500,proj,512,1024,1024,isap,8192,24576,131072,0,458752,0,0,65536,0,0,0,0,0,0,0,0,256,0,0,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,isap,8192,57344,131072,131072,57344,0,0,8192,0,0,0,0,0,0,0,0,256,0,0,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,512,1024,1024,ispp,8192,57344,131072,131072,0,8192,49152,0,8192,0,0,0,0,0,0,0,256,57344,57344,0,0
128,128,64,16,1024,2048,500,proj,128,128,128,ispp,128,896,512,512,0,0,0,256,0,0,0,0,0,0,0,0,8,0,128,0,0
128,128,64,16,1024,2048,500,proj,128,128,128,ispp,128,896,512,512,0,0,0,256,0,0,0,0,0,0,0,0,8,0,128,0,0
128,128,64,16,1024,2048,500,proj,128,128,128,ispp,128,896,512,512,0,0,0,256,0,0,0,0,0,0,0,0,8,0,128,0,0
128,128,64,16,1024,2048,500,proj,128,128,128,ispp,128,896,512,512,0,0,0,256,0,0,0,0,0,0,0,0,8,0,128,0,0
128,128,64,16,1024,2048,500,proj,128,128,128,ispp,128,896,512,512,0,0,0,256,0,0,0,0,0,0,0,0,8,0,128,0,0
128,128,64,16,1024,2048,500,proj,128,128,128,ispp,128,896,512,512,0,0,0,256,0,0,0,0,0,0,0,0,8,0,128,0,0
128,128,64,16,1024,2048,500,proj,128,128,128,ispp,128,896,512,512,0,0,0,256,0,0,0,0,0,0,0,0,8,0,128,0,0
128,128,64,16,1024,2048,500,proj,128,128,128,ispp,128,896,512,512,0,0,0,256,0,0,0,0,0,0,0,0,8,0,128,0,0
