Layer,M,N,K
Qgen,64,768,768
Kgen,64,768,768
Vgen,64,768,768
QKT-H0,64,64,64
PV-H0,64,64,64
QKT-H1,64,64,64
PV-H1,64,64,64
QKT-H2,64,64,64
PV-H2,64,64,64
QKT-H3,64,64,64
PV-H3,64,64,64
QKT-H4,64,64,64
PV-H4,64,64,64
QKT-H5,64,64,64
PV-H5,64,64,64
QKT-H6,64,64,64
PV-H6,64,64,64
QKT-H7,64,64,64
PV-H7,64,64,64
QKT-H8,64,64,64
PV-H8,64,64,64
QKT-H9,64,64,64
PV-H9,64,64,64
QKT-H10,64,64,64
PV-H10,64,64,64
QKT-H11,64,64,64
PV-H11,64,64,64
Concat,64,768,768
Linear-1,64,3072,768
Linear-2,64,768,3072
