Layer,M,N,K
Qgen,8,1024,1024
Kgen,8,1024,1024
Vgen,8,1024,1024
QKT-H0,8,8,64
PV-H0,8,64,8
QKT-H1,8,8,64
PV-H1,8,64,8
QKT-H2,8,8,64
PV-H2,8,64,8
QKT-H3,8,8,64
PV-H3,8,64,8
QKT-H4,8,8,64
PV-H4,8,64,8
QKT-H5,8,8,64
PV-H5,8,64,8
QKT-H6,8,8,64
PV-H6,8,64,8
QKT-H7,8,8,64
PV-H7,8,64,8
QKT-H8,8,8,64
PV-H8,8,64,8
QKT-H9,8,8,64
PV-H9,8,64,8
QKT-H10,8,8,64
PV-H10,8,64,8
QKT-H11,8,8,64
PV-H11,8,64,8
QKT-H12,8,8,64
PV-H12,8,64,8
QKT-H13,8,8,64
PV-H13,8,64,8
QKT-H14,8,8,64
PV-H14,8,64,8
QKT-H15,8,8,64
PV-H15,8,64,8
Concat,8,1024,1024
Linear-1,8,4096,1024
Linear-2,8,1024,4096
