Layer,M,N,K
Qgen,197,1024,1024
Kgen,197,1024,1024
Vgen,197,1024,1024
QKT-H0,197,197,64
PV-H0,197,64,197
QKT-H1,197,197,64
PV-H1,197,64,197
QKT-H2,197,197,64
PV-H2,197,64,197
QKT-H3,197,197,64
PV-H3,197,64,197
QKT-H4,197,197,64
PV-H4,197,64,197
QKT-H5,197,197,64
PV-H5,197,64,197
QKT-H6,197,197,64
PV-H6,197,64,197
QKT-H7,197,197,64
PV-H7,197,64,197
QKT-H8,197,197,64
PV-H8,197,64,197
QKT-H9,197,197,64
PV-H9,197,64,197
QKT-H10,197,197,64
PV-H10,197,64,197
QKT-H11,197,197,64
PV-H11,197,64,197
QKT-H12,197,197,64
PV-H12,197,64,197
QKT-H13,197,197,64
PV-H13,197,64,197
QKT-H14,197,197,64
PV-H14,197,64,197
QKT-H15,197,197,64
PV-H15,197,64,197
Concat,197,1024,1024
Linear-1,197,4096,1024
Linear-2,197,1024,4096
